isbn,title,series,publisher,subject,subject_detail,grade,grade_min,grade_max,semester,level,price,image_url
9788926167328,디딤돌 초등수학 기본편 4-2 (2026년) (새 교육과정 반영 / 상위권으로 가는 기본기),디딤돌 기본편,디딤돌,수학,수학,4,4,4,2,기본 4,16500,http://biblio.booxen.com/IMG_ISBN13/2026/01/9788926167328_L.jpg
9788926167311,디딤돌 초등수학 기본편 3-2 (2026년) (새 교육과정 반영 / 상위권으로 가는 기본기),디딤돌 기본편,디딤돌,수학,수학,3,3,3,2,기본 4,16500,http://biblio.booxen.com/IMG_ISBN13/2026/01/9788926167311_L.jpg
9788926167359,"디딤돌 초등수학 응용편 3-2 (2026년) (새 교육과정 반영 / 상위권 도약, 실력 완성)",디딤돌 응용편,디딤돌,수학,수학,3,3,3,2,상위 2,16500,http://biblio.booxen.com/IMG_ISBN13/2026/01/9788926167359_L.jpg
9788926167298,디딤돌 초등수학 기본편 1-2 (2026년) (새 교육과정 반영 / 상위권으로 가는 기본기),디딤돌 기본편,디딤돌,수학,수학,1,1,1,2,기본 4,16500,http://biblio.booxen.com/IMG_ISBN13/2026/01/9788926167298_L.jpg
9788926167458,디딤돌 초등 수학 기본 + 응용 3-2 (2026년) (2022 개정 교육과정),디딤돌 기본 + 응용,디딤돌,수학,수학,3,3,3,2,중위 5,17000,http://biblio.booxen.com/IMG_ISBN13/2026/01/9788926167458_L.jpg
9788926167441,디딤돌 초등 수학 기본 + 응용 2-2 (2026년) (2022 개정 교육과정),디딤돌 기본 + 응용,디딤돌,수학,수학,2,2,2,2,중위 5,17000,http://biblio.booxen.com/IMG_ISBN13/2026/01/9788926167441_L.jpg
9788926167434,디딤돌 초등 수학 기본 + 응용 1-2 (2026년) (2022 개정 교육과정),디딤돌 기본 + 응용,디딤돌,수학,수학,1,1,1,2,중위 5,17000,http://biblio.booxen.com/IMG_ISBN13/2026/01/9788926167434_L.jpg
9788926167465,디딤돌 초등 수학 기본 + 응용 4-2 (2026년) (2022 개정 교육과정),디딤돌 기본 + 응용,디딤돌,수학,수학,4,4,4,2,중위 5,17000,http://biblio.booxen.com/IMG_ISBN13/2026/01/9788926167465_L.jpg
9788926167809,디딤돌 초등 수학 교과서 개념 5-1 (2026년) (2022 개정 교육과정),디딤돌 교과서 개념,디딤돌,수학,수학,5,5,5,1,기본 5,17000,http://biblio.booxen.com/IMG_ISBN13/2026/01/9788926167809_L.jpg
9788926167793,디딤돌 초등 수학 교과서 개념 4-1 (2026년) (2022 개정 교육과정),디딤돌 교과서 개념,디딤돌,수학,수학,4,4,4,1,기본 5,17000,http://biblio.booxen.com/IMG_ISBN13/2026/01/9788926167793_L.jpg
9788926167786,디딤돌 초등 수학 교과서 개념 3-1 (2026년) (2022 개정 교육과정),디딤돌 교과서 개념,디딤돌,수학,수학,3,3,3,1,기본 5,17000,http://biblio.booxen.com/IMG_ISBN13/2026/01/9788926167786_L.jpg
9788926167816,디딤돌 초등 수학 교과서 개념 6-1 (2026년) (2022 개정 교육과정),디딤돌 교과서 개념,디딤돌,수학,수학,6,6,6,1,기본 5,17000,http://biblio.booxen.com/IMG_ISBN13/2026/01/9788926167816_L.jpg
9788926167489,디딤돌 초등 수학 기본 + 응용 6-2 (2026년) (2022개정 교육과정),디딤돌 기본 + 응용,디딤돌,수학,수학,6,6,6,2,중위 5,17000,http://biblio.booxen.com/IMG_ISBN13/2026/02/9788926167489_L.jpg
9788926167472,디딤돌 초등 수학 기본 + 응용 5-2 (2026년) (2022 개정 교육과정),디딤돌 기본 + 응용,디딤돌,수학,수학,5,5,5,2,중위 5,17000,http://biblio.booxen.com/IMG_ISBN13/2026/02/9788926167472_L.jpg
9788926167342,디딤돌 초등수학 기본편 6-2 (2026년) (2022개정 교육과정 반영),디딤돌 기본편,디딤돌,수학,수학,6,6,6,2,기본 4,16500,http://biblio.booxen.com/IMG_ISBN13/2026/02/9788926167342_L.jpg
9788926167335,디딤돌 초등수학 기본편 5-2 (2026년) (2022개정 교육과정 반영),디딤돌 기본편,디딤돌,수학,수학,5,5,5,2,기본 4,16500,http://biblio.booxen.com/IMG_ISBN13/2026/02/9788926167335_L.jpg
9788926162941,최상위 수학 라이트 중 1-2(2026) (2022 개정 교육과정),최상위 수학 라이트,디딤돌,수학,수학,7,7,7,2,상위 1,14500,http://biblio.booxen.com/IMG_ISBN13/2024/05/9788926162941_L.jpg
9788926167236,디딤돌 초등수학 원리편 1-2 (2026년) (새 교육과정 반영 | 상위권을 향한 첫걸음),디딤돌 원리편,디딤돌,수학,수학,1,1,1,2,기본 3,14000,http://biblio.booxen.com/IMG_ISBN13/2026/03/9788926167236_L.jpg
9788926167267,디딤돌 초등수학 원리편 4-2 (2026년) (새 교육과정 반영 | 상위권을 향한 첫걸음),디딤돌 원리편,디딤돌,수학,수학,4,4,4,2,기본 3,14000,http://biblio.booxen.com/IMG_ISBN13/2026/03/9788926167267_L.jpg
9788926167281,디딤돌 초등수학 원리편 6-2 (2026년) (새 교육과정 반영 | 상위권을 향한 첫걸음),디딤돌 원리편,디딤돌,수학,수학,6,6,6,2,기본 3,14000,http://biblio.booxen.com/IMG_ISBN13/2026/03/9788926167281_L.jpg
9788926167250,디딤돌 초등수학 원리편 3-2 (2026년) (새 교육과정 반영 | 상위권을 향한 첫걸음),디딤돌 원리편,디딤돌,수학,수학,3,3,3,2,기본 3,14000,http://biblio.booxen.com/IMG_ISBN13/2026/03/9788926167250_L.jpg
9788926167274,디딤돌 초등수학 원리편 5-2 (2026년) (새 교육과정 반영 | 상위권을 향한 첫걸음),디딤돌 원리편,디딤돌,수학,수학,5,5,5,2,기본 3,14000,http://biblio.booxen.com/IMG_ISBN13/2026/03/9788926167274_L.jpg
9788926167243,디딤돌 초등수학 원리편 2-2 (2026년) (새 교육과정 반영 | 상위권을 향한 첫걸음),디딤돌 원리편,디딤돌,수학,수학,2,2,2,2,기본 3,14000,http://biblio.booxen.com/IMG_ISBN13/2026/03/9788926167243_L.jpg
